Percentage served,Time in ms
0,257.049
1,1155.140
2,1362.217
3,1585.578
4,1808.848
5,2020.920
6,2241.859
7,2514.022
8,2840.762
9,3168.368
10,3650.385
11,4140.816
12,4553.822
13,4903.589
14,5152.503
15,5381.796
16,5610.727
17,5896.123
18,6209.062
19,6440.853
20,6646.650
21,6865.139
22,7021.227
23,7201.665
24,7357.517
25,7507.744
26,7682.264
27,7816.590
28,7970.943
29,8093.493
30,8227.022
31,8378.533
32,8535.653
33,8673.874
34,8807.760
35,8961.320
36,9086.843
37,9231.090
38,9376.111
39,9509.433
40,9673.598
41,9820.191
42,9991.252
43,10165.237
44,10305.444
45,10468.986
46,10644.561
47,10796.170
48,10952.170
49,11086.131
50,11224.009
51,11403.716
52,11522.551
53,11666.329
54,11782.122
55,11897.404
56,12036.962
57,12179.471
58,12280.420
59,12395.810
60,12504.899
61,12631.138
62,12780.634
63,12904.403
64,13013.165
65,13130.310
66,13249.382
67,13427.198
68,13605.361
69,13777.304
70,13907.364
71,14096.429
72,14263.030
73,14471.368
74,14684.392
75,14876.370
76,15039.895
77,15307.689
78,15573.672
79,15983.840
80,16333.755
81,16681.262
82,17197.159
83,17568.954
84,17963.374
85,18336.230
86,18711.403
87,19037.945
88,19453.751
89,19800.417
90,20143.748
91,20604.318
92,21034.185
93,21430.580
94,22011.481
95,22700.288
96,23330.886
97,24462.375
98,25695.608
99,27458.592
100,31291.297
